emissions,sources
0.03823277433811642,A
0.54606562422904,A
0.16101028562164937,A
0.07074876104545408,A
1.0265927993893422,A
0.010973922630846525,A
0.04859840687272804,B
0.03776066866184634,B
0.011304000902944077,B
0.0037982603602019186,B
0.055138398047846766,B
0.20311257431877563,B
0.07424142834205452,B
0.15643022514442537,B
0.01953457163116778,B
0.0032250869799620315,B
0.03601627884619777,B
0.021701343997731003,B
0.3210580757069633,C
0.25992931828797383,C
0.04109443509427945,C
0.05610240915786479,C
0.6243293539888298,C
0.039046575657132876,C
0.015154789033353714,C
0.005462595964873277,C
0.07645786196012934,C
0.15812189566811966,C
0.08432295866549779,C
0.197538389254178,C
0.12000240845522943,D
0.0024663162132888086,D
0.02447998287116996,D
0.13997388561420354,D
0.1448704472197866,D
0.16506434803694336,D
0.007490144041864744,D
0.4996245592308496,D
0.062210265978285245,D
0.024955830329415545,D
0.08871979951546165,D
0.15069529283806943,D
0.07356045961642747,D
0.38535015910037224,D
0.01435104044522093,D
0.21319035079597962,D
0.3438882089186275,D
0.3788175703874815,D
0.20816706870313606,E
0.012770274593594408,E
0.014520101526444828,E
0.06583985488320884,E
0.05143849810752629,E
0.14884090204990283,E
0.048405743918153964,E
0.6509627991667681,E
0.050061245725950825,E
