boiler units,chemX,chemY,Size
A,4.7043240918687423e-4,4.292470307749285,A
A,0.021994854327437145,4.140423342133515,A
A,0.3035255768706402,4.501422229696674,A
A,0.035135865,3.621994571275195,A
A,0,3.882037441961766,A
A,0.010887762793030378,3.657099540630835,A
A,0.7840527520309408,3.9158004204366605,A
A,1.1124371279467849e-5,4.062028275300937,A
A,0.003059722,4.340514117202899,A
A,0.001628269,3.9113230391272147,A
A,7.983758573230081e-5,3.760280583336383,A
A,0.047588582117518465,3.938523817,A
A,5.22502971271425e-6,4.1242108405476365,A
A,0.004195293,4.036380438280855,A
A,0.040441492139886515,4.263680186238494,A
A,0.109261954,3.9402181373138676,A
A,0.008825569,3.6703556515682343,A
A,0.056875943,4.190299693925101,A
A,3.134271885134787e-4,3.7773754093797183,B
A,3.471207029555445e-6,4.1233932951378165,B
A,0.013378572523186463,4.102698743297084,B
A,0.003973467,4.073891820746205,B
A,0.001446685,4.344778826121186,B
A,4.07702631616253e-4,3.958771086672158,B
A,0.18320668289036504,3.7371609720199994,B
A,0.14861168512748377,4.012694819255174,B
A,0.001476972,3.9536045097666768,B
A,0.003216389,4.127012066,B
A,0.388503352,4.326928857096745,B
A,0.001299787,3.6383344841290195,B
A,1.2198025217250329e-4,3.957222809700738,B
A,9.515080967511595e-6,4.014073228257029,B
A,0.038972087,4.109941534,B
A,0.006973811,3.860635290797133,B
A,0.042893829390945167,4.078113188474042,B
A,5.140599716098853e-4,4.0762822518198965,B
B,0.17996904412065332,5.289483146,A
B,0.096666474,5.194230261542527,A
B,0.001580851,6.546732904209159,A
B,0.017959180062927706,5.872839374971937,A
B,0.113779941,6.962961473758963,A
B,0.11799860790875755,5.071315139542871,A
B,0.13548277952850088,4.242131209400249,A
B,0.005125207,4.963652515871342,A
B,0.4160504119707692,5.382787156401008,A
B,0.04821298,5.0973710924491975,A
B,0.018329019700025886,4.949946236932589,A
B,0.07020865,3.9593646584393998,B
B,0.12302795973293347,4.622315313952606,B
B,0.057574168,4.368198734614421,B
B,0.10056889392900843,5.562062436368764,B
B,0.3190249778977222,5.593075855113568,B
B,0.01020272,6.608700874390976,B
B,0.17763743535078882,5.019912936470048,B
B,0.2838214352905804,6.106130948130761,B
B,0.08337441,4.892632751235813,B
B,0.31347844031130534,4.012346224248642,B
B,0.174182533,5.6693561574892115,B
C,0.003753415,3.540231666,A
C,0.004492662,3.382720483490469,A
C,0.037293284,3.4216761953233306,A
C,0.026396710402238732,4.344751747601151,A
C,0.11683082058620665,4.586216458739573,A
C,0.024243866,4.303682182824773,A
C,0.6296751715682841,3.6634210034621706,A
C,0.025412566591328515,3.145160229150106,A
C,0.024481554,3.9112869154299466,A
C,0.051730749,4.356716591900009,A
C,0.056128131,4.218697198683443,A
C,0.068085319,3.957258384160488,A
C,0.4079141537006631,3.9111090360709135,A
C,0.063543547,3.3781923050395535,A
C,0.067808573,4.021902662818949,A
C,0.07808603,3.827898555464722,A
C,0.086764203,3.8339861947609823,B
C,0.051284108,3.699019128822352,B
C,0.028500930089859024,3.2209923729787873,B
C,0.18202116562695567,3.503628365,B
C,0.00153258,4.183032692002002,B
C,0.14198197421432218,3.8194640583260626,B
C,0.001427751,3.807323406237589,B
C,0.032900918101945544,3.706841515974234,B
C,0.024395867582133964,4.500295413642998,B
C,0.084039489,3.809242785056928,B
C,2.848149188240122e-4,3.9245980058252337,B
C,0.3318239949662997,3.8746103678370694,B
C,8.484342814143467e-4,3.318383409773134,B
C,0.038125562,3.7667666129612454,B
C,0.006449463,4.4434610205662155,B
C,0.8240594544848648,4.029062629702333,B
D,3.574770521540058e-4,4.3547971709853845,A
D,2.933936634932912e-11,4.507734227692233,A
D,0.006143717,4.555989527297743,A
D,2.6828521892182793e-4,4.492505343004072,A
D,9.278100830019057e-9,4.578269769776364,A
