boiler units,chemX,chemY,Size
A,0.065657791,4.292470307749285,A
A,0.297382273,4.140423342133515,A
A,0.027433451,4.501422229696674,A
A,0.075277667,3.621994571275195,A
A,0.398608739,3.882037441961766,A
A,0.536446013,3.657099540630835,A
A,0.732912157,3.9158004204366605,A
A,0.114383344,4.062028275300937,A
A,0.009847679,4.340514117202899,A
A,0.853306446,3.9113230391272147,A
A,0.39155886,3.760280583336383,A
A,0.068143426,3.938523817,A
A,0.624795018,4.1242108405476365,A
A,0.080409694,4.036380438280855,A
A,0.43311564,4.263680186238494,A
A,0.185903732,3.9402181373138676,A
A,0.839401045,3.6703556515682343,A
A,1.027793905,4.190299693925101,A
A,0.787655703,3.7773754093797183,B
A,0.385544502,4.1233932951378165,B
A,0.01222692,4.102698743297084,B
A,0.22384561,4.073891820746205,B
A,0.600299871,4.344778826121186,B
A,0.422872783,3.958771086672158,B
A,0.413176183,3.7371609720199994,B
A,0.308108677,4.012694819255174,B
A,0.119749224,3.9536045097666768,B
A,0.987882042,4.127012066,B
A,0.149473491,4.326928857096745,B
A,0.31296418,3.6383344841290195,B
A,0.196286483,3.957222809700738,B
A,0.872895152,4.014073228257029,B
A,0.085596525,4.109941534,B
A,0.238473154,3.860635290797133,B
A,0.761488332,4.078113188474042,B
A,0.711941684,4.0762822518198965,B
B,0.27478802,5.289483146,A
B,0.144860429,5.194230261542527,A
B,0.15031503,6.546732904209159,A
B,0.4507234,5.872839374971937,A
B,1.091284835,6.962961473758963,A
B,0.110933506,5.071315139542871,A
B,1.043117541,4.242131209400249,A
B,0.225992298,4.963652515871342,A
B,0.073596813,5.382787156401008,A
B,1.122207233,5.0973710924491975,A
B,0.683029043,4.949946236932589,A
B,0.775561266,3.9593646584393998,B
B,0.565589832,4.622315313952606,B
B,1.261328245,4.368198734614421,B
B,0.341185974,5.562062436368764,B
B,0.657234195,5.593075855113568,B
B,0.074892675,6.608700874390976,B
B,0.786115259,5.019912936470048,B
B,0.201983637,6.106130948130761,B
B,0.150760116,4.892632751235813,B
B,0.480377579,4.012346224248642,B
B,0.153519792,5.6693561574892115,B
C,0.398017112,3.540231666,A
C,0.684898563,3.382720483490469,A
C,0.351969284,3.4216761953233306,A
C,0.468336739,4.344751747601151,A
C,0.256083951,4.586216458739573,A
C,0.047938254,4.303682182824773,A
C,1.011243319,3.6634210034621706,A
C,0.131841595,3.145160229150106,A
C,0.233375757,3.9112869154299466,A
C,0.62098813,4.356716591900009,A
C,0.23069708,4.218697198683443,A
C,0.083732778,3.957258384160488,A
C,0.618233933,3.9111090360709135,A
C,0.352198298,3.3781923050395535,A
C,0.282250804,4.021902662818949,A
C,0.022425698,3.827898555464722,A
C,0.528655484,3.8339861947609823,B
C,0.020321855,3.699019128822352,B
C,0.688391004,3.2209923729787873,B
C,0.446224048,3.503628365,B
C,0.061938682,4.183032692002002,B
C,0.231032445,3.8194640583260626,B
C,0.817605718,3.807323406237589,B
C,0.194170736,3.706841515974234,B
C,0.026553903,4.500295413642998,B
C,0.198420155,3.809242785056928,B
C,0.30068897,3.9245980058252337,B
C,1.004853884,3.8746103678370694,B
C,0.691022357,3.318383409773134,B
C,0.396316532,3.7667666129612454,B
C,0.131497484,4.4434610205662155,B
C,0.14686333,4.029062629702333,B
D,0.45168372,4.3547971709853845,A
D,0.15054441,4.507734227692233,A
D,0.269062607,4.555989527297743,A
D,0.579810158,4.492505343004072,A
D,0.554135158,4.578269769776364,A
D,0.38205568,4.482733144,A
D,1.400347741,4.394870622160235,A
D,0.071206206,4.572945127879334,A
D,0.338863859,4.526266524269077,A
D,0.56445382,4.5543657859153495,B
D,0.215940115,4.604106029830068,B
D,0.492191494,4.519750615370222,B
D,0.647458046,4.337042171268201,B
D,0.406816615,4.512104023238114,B
D,0.372907861,4.336257804784816,B
D,0.258911519,4.446895689399846,B
D,0.292773137,4.595367979197182,B
D,0.085798175,4.327934933792282,B
E,0.367923876,2.1744244339013927,A
E,0.114854649,1.6739320523931775,A
E,0.37325172,1.8891621121662314,A
E,0.929656507,2.783341767274194,A
E,0.440352699,2.419206068560454,A
E,0.070091324,3.006085647191001,A
E,0.297020332,1.3067584557019178,A
E,0.260939213,1.4913777544438864,A
E,0.68790902,1.5715207956978432,A
E,0.472692409,2.0092552548103613,A
E,0.051674842,1.3987390651662588,B
E,0.246122477,1.5260922045100935,B
E,0.430201244,1.4178132718998993,B
E,0.402783113,2.5230165860980387,B
E,2.396735289,2.4841513117248333,B
E,0.371900637,2.7415028597864386,B
E,0.270836126,3.9630964566572713,B
E,0.687556381,1.973820054190364,B
E,0.196568971,2.579510336275754,B
E,0.219738222,4.386490163212807,B
F,0.423457524,7.492420321720383,A
F,0.297248523,7.051687891751281,A
F,0.183629417,6.419289944817245,A
F,0.193793366,6.717389389978389,A
F,0.011319561,5.917915370406911,A
F,0.314972832,5.999339110665265,A
F,0.369923676,6.816508989,A
F,0.108745685,7.323500492568561,A
F,0.392228734,7.128299377150161,A
F,0.210861879,6.826993306088803,A
F,0.185162351,5.826544438942758,B
F,0.251947604,7.5614264971536675,B
F,0.214704468,7.421735170871183,B
F,0.295073797,8.231638436,B
F,0.379617875,5.800666653674977,B
F,0.257253305,6.899223281782594,B
F,0.050547359,8.325225322068148,B
F,0.428267673,7.181489528896632,B
F,0.527957152,8.068977210776826,B
F,0.052800946,7.501954638848259,B
